burst_id,dominant_time_s,dominant_freq_hz,omega_star_e_q1,omega_star_i_q1,omega_tor_q1,omega_tor_q1_err,omega_tor_q1_snr,shot,target_n,target_m,target_mode_label
1,0.7028156250000002,9273.4375,-32014.36954655439,10076.154388380297,8.092670116117068,0.5556243874650161,14.565001642636878,1101014030,1.0,2.0,"(2,1)"
2,0.717802822580645,10830.645161290322,-66697.02870422695,11148.279091469649,8.767069765161315,0.5881273715200511,14.906753519228815,1101014030,1.0,2.0,"(2,1)"
3,0.7324035906642729,14596.05026929982,-68004.60472120641,12338.49153226468,9.415263136314207,0.6192427080256397,15.204479623721896,1101014030,1.0,2.0,"(2,1)"
4,0.7518460264900663,13897.350993377484,-62920.555510901664,6275.270069217879,10.265061570264184,0.6487814057452846,15.8220649965642,1101014030,1.0,2.0,"(2,1)"
5,0.763621875,14278.645833333334,-73286.1496855935,3517.5165957912386,10.780687967957785,0.6613955639688015,16.299909698920082,1101014030,1.0,2.0,"(2,1)"
6,0.782918893129771,15494.274809160306,-59460.389868552295,4776.478434095447,11.655159652173708,0.6994626215636003,16.66301999972408,1101014030,1.0,2.0,"(2,1)"
7,0.7945899553571428,15444.19642857143,-78039.67859050272,5139.532099942813,12.169996061409014,0.7220357340639858,16.8551160105471,1101014030,1.0,2.0,"(2,1)"
8,0.8137251428571429,15834.285714285714,-28438.814836818885,-2951.487332601976,12.764363067790358,0.747691045041628,17.071707829641984,1101014030,1.0,2.0,"(2,1)"
9,0.8256624161073824,15432.885906040268,23355.672147894948,-1979.6460480377764,13.079839227433732,0.7620755719232036,17.16344114590229,1101014030,1.0,2.0,"(2,1)"
10,0.8395,18268.51851851852,-14285.07804619714,-168.86183055140623,13.446703979035597,0.7783498319746699,17.275912997785806,1101014030,1.0,2.0,"(2,1)"
11,0.8448910194174757,15109.223300970874,-34260.60961377211,992.5665987081901,13.570198709077141,0.7870326745534391,17.24223040266638,1101014030,1.0,2.0,"(2,1)"
12,0.8494592105263157,17763.157894736843,-55282.637331152364,3093.1304265722747,13.624251597203513,0.8005146300780553,17.01936614934203,1101014030,1.0,2.0,"(2,1)"
13,0.8610981981981982,15039.039039039038,-107136.15607597111,8058.653680432435,13.786985118182388,0.8319419744554993,16.57205134673711,1101014030,1.0,2.0,"(2,1)"
14,0.881513870246085,16230.425055928412,-132836.7101456566,8001.383430517793,14.454294421058668,0.8394330324942487,17.219115595332138,1101014030,1.0,2.0,"(2,1)"
15,0.8936040685224841,16278.372591006424,-91283.0738239103,7241.598608057211,14.51962154573254,0.8762879272994636,16.5694643203393,1101014030,1.0,2.0,"(2,1)"
16,0.9159598086124402,15165.071770334927,-60053.90832797856,-2260.35993892669,14.923265049723572,0.9069234858752976,16.454822575600968,1101014030,1.0,2.0,"(2,1)"
