                                            
                                            
        160                                 
           T1             2562.32     164.48    -276.25
           T2             2557.32     162.68    -276.25
           T3             2554.31      160.9    -276.35
           T4             2554.31      159.1    -276.35
           T5             2557.32     157.32    -276.25
           T6             2561.82     155.52    -276.25
           P1             2561.82     155.52     -15.35
           P2             2561.82     155.52    -102.35
           P3             2561.82     155.52    -189.35
           P4             2561.82     155.52    -363.35
        340                                 
           T1             2562.32     344.48    -276.25
           T2             2557.32     342.68    -276.25
           T3             2554.31      340.9    -276.35
           T4             2554.31      339.1    -276.35
           T5             2557.32     337.32    -276.25
           T6             2562.32     335.52    -276.25
           P1             2561.82     344.48     -15.35
           P2             2561.82     344.48    -102.35
           P3             2561.82     344.48    -189.35
           P4             2561.82     344.48    -363.35
