burst_id,dominant_time_s,dominant_freq_hz,omega_star_e_q1,omega_star_i_q1,omega_tor_q1,omega_tor_q1_err,omega_tor_q1_snr,shot,target_n,target_m,target_mode_label
2,0.7115300366300367,11249.08424908425,78134.98440278083,-7152.965896595025,-8.161272661583682,0.3333666111534259,24.48137392447981,1160826011,-1.0,-3.0,"(-3,-1)"
3,0.7263078947368421,11229.323308270677,64098.1199421456,-14442.957096452552,-8.749498595291472,0.35575672401041036,24.594049823315327,1160826011,-1.0,-3.0,"(-3,-1)"
4,0.7295738636363637,11159.09090909091,63080.15483871418,-16982.569100064662,-8.896946794309965,0.36065278969151837,24.6690086659801,1160826011,-1.0,-3.0,"(-3,-1)"
5,0.7375378151260507,11806.72268907563,47127.39988490696,-17038.03379493862,-9.694476064711552,0.3709632708931828,26.13325044651936,1160826011,-1.0,-3.0,"(-3,-1)"
6,0.7546411330049261,12064.039408866995,70778.46751741899,-15225.830055976647,-10.503863938787637,0.38623732932199584,27.19536187044946,1160826011,-1.0,-3.0,"(-3,-1)"
7,0.767373786407767,13718.446601941747,49845.54670257094,-11796.446933060899,-9.910389820930579,0.3889798987310575,25.477897066816475,1160826011,-1.0,-3.0,"(-3,-1)"
8,0.7851292682926829,13397.560975609756,62297.84233754965,-13562.775570733787,-9.919356958156355,0.3946976486291896,25.13153294073811,1160826011,-1.0,-3.0,"(-3,-1)"
9,0.8016952277657267,13357.917570498916,88364.78072627712,-16702.82369539281,-10.167295650543977,0.39419203408752546,25.79274762383061,1160826011,-1.0,-3.0,"(-3,-1)"
10,0.819197142857143,13004.081632653062,46762.99015841029,-7772.876270273154,-10.452404486300367,0.39486009465508987,26.471159349314693,1160826011,-1.0,-3.0,"(-3,-1)"
12,0.8315521276595745,13582.978723404256,90004.81011339363,-1679.2441516294066,-10.331068203982262,0.398798165970072,25.905505806056194,1160826011,-1.0,-3.0,"(-3,-1)"
13,0.8522274509803922,13228.758169934641,73063.37373697545,-3876.079930829992,-10.054990430620162,0.40790247020279274,24.65047692802945,1160826011,-1.0,-3.0,"(-3,-1)"
14,0.8706529962546815,13559.925093632959,51182.47306183126,-11889.778549264556,-10.868364046236728,0.4179944225036318,26.001217865873073,1160826011,-1.0,-3.0,"(-3,-1)"
15,0.8835819787985866,13699.646643109541,76713.34088408844,-8127.883863956825,-10.508399231742693,0.41385440949864205,25.3915362276143,1160826011,-1.0,-3.0,"(-3,-1)"
16,0.8864932432432434,17527.027027027027,64873.67181441662,-7526.278122860184,-10.50447326426382,0.4123158974972389,25.476760241421843,1160826011,-1.0,-3.0,"(-3,-1)"
17,0.9034799289520427,14333.92539964476,68367.27265355697,-11112.28423596647,-10.597580806797433,0.4065969244710356,26.064094854097608,1160826011,-1.0,-3.0,"(-3,-1)"
18,0.9174527586206898,14365.51724137931,50404.563121348976,-4990.817372194542,-11.1127231238758,0.400521845382182,27.745610512884575,1160826011,-1.0,-3.0,"(-3,-1)"
19,0.9211333333333334,17433.333333333332,49066.928371292786,-2443.1067589057375,-11.274370985013702,0.3989346672690331,28.261196406404324,1160826011,-1.0,-3.0,"(-3,-1)"
20,0.935790026246719,14018.372703412073,52312.68249095736,-1298.5081433276243,-11.232405728666365,0.3981354255390844,28.212525206611375,1160826011,-1.0,-3.0,"(-3,-1)"
21,0.9513701388888889,13953.703703703704,87701.90060250055,-10007.50141254769,-10.61610738315691,0.40098256434570584,26.47523440446719,1160826011,-1.0,-3.0,"(-3,-1)"
22,0.9671269417475729,13917.47572815534,53911.65275837037,-5150.474886080044,-10.49192737286784,0.3940879906222929,26.623311601808375,1160826011,-1.0,-3.0,"(-3,-1)"
23,0.9823347368421054,13185.964912280702,91188.44988833714,-6045.131920212374,-10.668108981598474,0.3980128777593302,26.80342666713726,1160826011,-1.0,-3.0,"(-3,-1)"
24,0.9980600000000001,13535.384615384615,58181.26944531889,-4381.056125370318,-10.692409096108436,0.41526441876795406,25.748435485591788,1160826011,-1.0,-3.0,"(-3,-1)"
